Data,Ano,Mes,Mes_Nome,Ano_Mes,Trimestre,Dia_Semana,Dia_Mes,Semana_Ano
2017-06-15,2017,6,Junho,2017-06,2,Quinta-feira,15,24
2017-06-16,2017,6,Junho,2017-06,2,Sexta-feira,16,24
2017-06-17,2017,6,Junho,2017-06,2,Sábado,17,24
2017-06-18,2017,6,Junho,2017-06,2,Domingo,18,24
2017-06-19,2017,6,Junho,2017-06,2,Segunda-feira,19,25
2017-06-20,2017,6,Junho,2017-06,2,Terça-feira,20,25
2017-06-21,2017,6,Junho,2017-06,2,Quarta-feira,21,25
2017-06-22,2017,6,Junho,2017-06,2,Quinta-feira,22,25
2017-06-23,2017,6,Junho,2017-06,2,Sexta-feira,23,25
2017-06-24,2017,6,Junho,2017-06,2,Sábado,24,25
2017-06-25,2017,6,Junho,2017-06,2,Domingo,25,25
2017-06-26,2017,6,Junho,2017-06,2,Segunda-feira,26,26
2017-06-27,2017,6,Junho,2017-06,2,Terça-feira,27,26
2017-06-28,2017,6,Junho,2017-06,2,Quarta-feira,28,26
2017-06-29,2017,6,Junho,2017-06,2,Quinta-feira,29,26
2017-06-30,2017,6,Junho,2017-06,2,Sexta-feira,30,26
2017-07-01,2017,7,Julho,2017-07,3,Sábado,1,26
2017-07-02,2017,7,Julho,2017-07,3,Domingo,2,26
2017-07-03,2017,7,Julho,2017-07,3,Segunda-feira,3,27
2017-07-04,2017,7,Julho,2017-07,3,Terça-feira,4,27
2017-07-05,2017,7,Julho,2017-07,3,Quarta-feira,5,27
2017-07-06,2017,7,Julho,2017-07,3,Quinta-feira,6,27
2017-07-07,2017,7,Julho,2017-07,3,Sexta-feira,7,27
2017-07-08,2017,7,Julho,2017-07,3,Sábado,8,27
2017-07-09,2017,7,Julho,2017-07,3,Domingo,9,27
2017-07-10,2017,7,Julho,2017-07,3,Segunda-feira,10,28
2017-07-11,2017,7,Julho,2017-07,3,Terça-feira,11,28
2017-07-12,2017,7,Julho,2017-07,3,Quarta-feira,12,28
2017-07-13,2017,7,Julho,2017-07,3,Quinta-feira,13,28
2017-07-14,2017,7,Julho,2017-07,3,Sexta-feira,14,28
2017-07-15,2017,7,Julho,2017-07,3,Sábado,15,28
2017-07-16,2017,7,Julho,2017-07,3,Domingo,16,28
2017-07-17,2017,7,Julho,2017-07,3,Segunda-feira,17,29
2017-07-18,2017,7,Julho,2017-07,3,Terça-feira,18,29
2017-07-19,2017,7,Julho,2017-07,3,Quarta-feira,19,29
2017-07-20,2017,7,Julho,2017-07,3,Quinta-feira,20,29
2017-07-21,2017,7,Julho,2017-07,3,Sexta-feira,21,29
2017-07-22,2017,7,Julho,2017-07,3,Sábado,22,29
2017-07-23,2017,7,Julho,2017-07,3,Domingo,23,29
2017-07-24,2017,7,Julho,2017-07,3,Segunda-feira,24,30
2017-07-25,2017,7,Julho,2017-07,3,Terça-feira,25,30
2017-07-26,2017,7,Julho,2017-07,3,Quarta-feira,26,30
2017-07-27,2017,7,Julho,2017-07,3,Quinta-feira,27,30
2017-07-28,2017,7,Julho,2017-07,3,Sexta-feira,28,30
2017-07-29,2017,7,Julho,2017-07,3,Sábado,29,30
2017-07-30,2017,7,Julho,2017-07,3,Domingo,30,30
2017-07-31,2017,7,Julho,2017-07,3,Segunda-feira,31,31
2017-08-01,2017,8,Agosto,2017-08,3,Terça-feira,1,31
2017-08-02,2017,8,Agosto,2017-08,3,Quarta-feira,2,31
2017-08-03,2017,8,Agosto,2017-08,3,Quinta-feira,3,31
2017-08-04,2017,8,Agosto,2017-08,3,Sexta-feira,4,31
2017-08-05,2017,8,Agosto,2017-08,3,Sábado,5,31
2017-08-06,2017,8,Agosto,2017-08,3,Domingo,6,31
2017-08-07,2017,8,Agosto,2017-08,3,Segunda-feira,7,32
2017-08-08,2017,8,Agosto,2017-08,3,Terça-feira,8,32
2017-08-09,2017,8,Agosto,2017-08,3,Quarta-feira,9,32
2017-08-10,2017,8,Agosto,2017-08,3,Quinta-feira,10,32
2017-08-11,2017,8,Agosto,2017-08,3,Sexta-feira,11,32
2017-08-12,2017,8,Agosto,2017-08,3,Sábado,12,32
2017-08-13,2017,8,Agosto,2017-08,3,Domingo,13,32
2017-08-14,2017,8,Agosto,2017-08,3,Segunda-feira,14,33
2017-08-15,2017,8,Agosto,2017-08,3,Terça-feira,15,33
2017-08-16,2017,8,Agosto,2017-08,3,Quarta-feira,16,33
2017-08-17,2017,8,Agosto,2017-08,3,Quinta-feira,17,33
2017-08-18,2017,8,Agosto,2017-08,3,Sexta-feira,18,33
2017-08-19,2017,8,Agosto,2017-08,3,Sábado,19,33
2017-08-20,2017,8,Agosto,2017-08,3,Domingo,20,33
2017-08-21,2017,8,Agosto,2017-08,3,Segunda-feira,21,34
2017-08-22,2017,8,Agosto,2017-08,3,Terça-feira,22,34
2017-08-23,2017,8,Agosto,2017-08,3,Quarta-feira,23,34
2017-08-24,2017,8,Agosto,2017-08,3,Quinta-feira,24,34
2017-08-25,2017,8,Agosto,2017-08,3,Sexta-feira,25,34
2017-08-26,2017,8,Agosto,2017-08,3,Sábado,26,34
2017-08-27,2017,8,Agosto,2017-08,3,Domingo,27,34
2017-08-28,2017,8,Agosto,2017-08,3,Segunda-feira,28,35
2017-08-29,2017,8,Agosto,2017-08,3,Terça-feira,29,35
2017-08-30,2017,8,Agosto,2017-08,3,Quarta-feira,30,35
2017-08-31,2017,8,Agosto,2017-08,3,Quinta-feira,31,35
2017-09-01,2017,9,Setembro,2017-09,3,Sexta-feira,1,35
2017-09-02,2017,9,Setembro,2017-09,3,Sábado,2,35
2017-09-03,2017,9,Setembro,2017-09,3,Domingo,3,35
2017-09-04,2017,9,Setembro,2017-09,3,Segunda-feira,4,36
2017-09-05,2017,9,Setembro,2017-09,3,Terça-feira,5,36
2017-09-06,2017,9,Setembro,2017-09,3,Quarta-feira,6,36
2017-09-07,2017,9,Setembro,2017-09,3,Quinta-feira,7,36
2017-09-08,2017,9,Setembro,2017-09,3,Sexta-feira,8,36
2017-09-09,2017,9,Setembro,2017-09,3,Sábado,9,36
2017-09-10,2017,9,Setembro,2017-09,3,Domingo,10,36
2017-09-11,2017,9,Setembro,2017-09,3,Segunda-feira,11,37
2017-09-12,2017,9,Setembro,2017-09,3,Terça-feira,12,37
2017-09-13,2017,9,Setembro,2017-09,3,Quarta-feira,13,37
2017-09-14,2017,9,Setembro,2017-09,3,Quinta-feira,14,37
2017-09-15,2017,9,Setembro,2017-09,3,Sexta-feira,15,37
2017-09-16,2017,9,Setembro,2017-09,3,Sábado,16,37
2017-09-17,2017,9,Setembro,2017-09,3,Domingo,17,37
2017-09-18,2017,9,Setembro,2017-09,3,Segunda-feira,18,38
2017-09-19,2017,9,Setembro,2017-09,3,Terça-feira,19,38
